lister-item-image href,loadlate src,movie name,trailer href,lister-item-year,runtime,genre,item-content,actor 1,,actor 2,,actor 3,,actor 4,,actor 5
https://www.imdb.com/title/tt4572514/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BODYxMDc0NTg2Nl5BMl5BanBnXkFtZTgwNjY0NDYzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg",Patriots Day,https://www.imdb.com/title/tt4572514/?ref_=ttls_li_tt,-2016,133 min,"Crime, Drama, History","The story of the 2013 Boston Marathon bombing and the aftermath, which includes the city-wide manhunt to find the terrorists responsible.",Peter Berg,,Mark Wahlberg,,Michelle Monaghan,,J.K. Simmons,,John Goodman
https://www.imdb.com/title/tt4846340/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMzg2Mzg4YmUtNDdkNy00NWY1LWE3NmEtZWMwNGNlMzE5YzU3XkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_UY209_CR0,0,140,209_AL_.jpg",Hidden Figures,https://www.imdb.com/title/tt4846340/?ref_=ttls_li_tt,-2016,127 min,"Biography, Drama, History",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Theodore Melfi,,Taraji P. Henson,,Octavia Spencer,,Janelle Monáe,,Kevin Costner
https://www.imdb.com/title/tt3716530/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTU4MTUyMzI5Nl5BMl5BanBnXkFtZTgwMDQwODY2NzE@._V1_UY209_CR7,0,140,209_AL_.jpg",Elle,https://www.imdb.com/title/tt3716530/?ref_=ttls_li_tt,(I) (2016),130 min,"Crime, Drama, Thriller",A successful businesswoman gets caught up in a game of cat and mouse as she tracks down the unknown man who raped her.,Paul Verhoeven,,Isabelle Huppert,,Laurent Lafitte,,Anne Consigny,,Charles Berling
https://www.imdb.com/title/tt4550098/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTYwMzMwMzgxNl5BMl5BanBnXkFtZTgwMTA0MTUzMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Nocturnal Animals,https://www.imdb.com/title/tt4550098/?ref_=ttls_li_tt,-2016,116 min,"Crime, Drama, Romance","A wealthy art gallery owner receives a draft of her ex-husband's new novel, a violent thriller she interprets as a veiled threat and a symbolic revenge tale.",Tom Ford,,Amy Adams,,Jake Gyllenhaal,,Michael Shannon,,Aaron Taylor-Johnson
https://www.imdb.com/title/tt4385888/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTkwNDE4NzQwM15BMl5BanBnXkFtZTgwNzQ5Nzg0MDI@._V1_UY209_CR0,0,140,209_AL_.jpg",20th Century Women,https://www.imdb.com/title/tt4385888/?ref_=ttls_li_tt,-2016,119 min,"Comedy, Drama","The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.",Mike Mills,,Annette Bening,,Elle Fanning,,Greta Gerwig,,Billy Crudup
https://www.imdb.com/title/tt3263904/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BY2NmZDAwM2QtZmFiMS00OTJlLTgxMTItZDMyZmVhYjE1MDY3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX140_CR0,0,140,209_AL_.jpg",Sully,https://www.imdb.com/title/tt3263904/?ref_=ttls_li_tt,-2016,96 min,"Biography, Drama","The story of , an American pilot who became a hero after landing his damaged plane on the Hudson River in order to save the flight's passengers and crew.",Clint Eastwood,,Tom Hanks,,Aaron Eckhart,,Laura Linney,,Valerie Mahaffey
https://www.imdb.com/title/tt3464902/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BNDQ1NDE5NzQ1NF5BMl5BanBnXkFtZTgwNzA5OTM2NTE@._V1_UY209_CR3,0,140,209_AL_.jpg",The Lobster,https://www.imdb.com/title/tt3464902/?ref_=ttls_li_tt,-2015,119 min,"Comedy, Drama, Romance","In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.",Yorgos Lanthimos,,Colin Farrell,,Rachel Weisz,,Jessica Barden,,Olivia Colman
https://www.imdb.com/title/tt5895028/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMjAwMjU5NTAzOF5BMl5BanBnXkFtZTgwMjQwODQxMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",13th,https://www.imdb.com/title/tt5895028/?ref_=ttls_li_tt,-2016,100 min,"Documentary, Crime, History",An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,Ava DuVernay,,Melina Abdullah,,Michelle Alexander,,Cory Booker,,Dolores Canales
https://www.imdb.com/title/tt3416532/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTg1OTA5OTkyNV5BMl5BanBnXkFtZTgwODMwNDU5OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",A Monster Calls,https://www.imdb.com/title/tt3416532/?ref_=ttls_li_tt,-2016,108 min,"Animation, Drama, Fantasy",A boy seeks the help of a tree monster to cope with his single mother's terminal illness.,J.A. Bayona,,Lewis MacDougall,,Sigourney Weaver,,Felicity Jones,,Toby Kebbell
https://www.imdb.com/title/tt4196450/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTU5MjI3NzQxMl5BMl5BanBnXkFtZTgwMTUwNjYyOTE@._V1_UY209_CR0,0,140,209_AL_.jpg",The Birth of a Nation,https://www.imdb.com/title/tt4196450/?ref_=ttls_li_tt,-2016,120 min,"Biography, Drama, History","Nat Turner, a literate slave and preacher in the antebellum South, orchestrates an uprising.",Nate Parker,,Nate Parker,,Armie Hammer,,Penelope Ann Miller,,Jackie Earle Haley
https://www.imdb.com/title/tt5168192/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMTQ4NTMzMTk4NV5BMl5BanBnXkFtZTgwNTU5MjE4MDI@._V1_UY209_CR0,0,140,209_AL_.jpg","I, Daniel Blake",https://www.imdb.com/title/tt5168192/?ref_=ttls_li_tt,-2016,100 min,Drama,"After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.",Ken Loach,,Dave Johns,,Hayley Squires,,Sharon Percy,,Briana Shann
https://www.imdb.com/title/tt2361317/?ref_=ttls_li_i,"https://m.media-amazon.com/images/M/MV5BMjc3MDIyMjgzNl5BMl5BanBnXkFtZTgwMzUxOTg3MDI@._V1_UY209_CR0,0,140,209_AL_.jpg",Live by Night,https://www.imdb.com/title/tt2361317/?ref_=ttls_li_tt,-2016,129 min,"Action, Crime, Drama","A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.",Ben Affleck,,Ben Affleck,,Elle Fanning,,Brendan Gleeson,,Chris Messina
