url,id,title,released_year,runtime,genre,rate,description,directed_by,cast,votes
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_249,Uninvited,2003,127 min,"Drama, Horror, Thriller",5.9,Jeong-won is a man with no memory of his childhood and his real family. At the beginning of the film he witnesses the deaths of two young girls. He begins seeing the girls dead bodies ...                 »,Soo-youn Lee,"Shin-yang Park,Ji-hyun Jun,Seon Yu,Ok Jeong",1335
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_250,Marlene,2000,125 min,"Biography, Drama, Music",5.8,The movie follows the life and personality of the famous actress Marlene Dietrich.,Joseph Vilsmaier,"Katja Flint,Hans Werner Meyer,Herbert Knaup,Heino Ferch",520
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_251,Leisure Suit Larry: Box Office Bust,2009,,"Adventure, Comedy",3.1,"Larry Lovage's uncle Larry calls upon his assistance at his movie studio, doing odd jobs and trying to uncover a mole from a rival studio who is attempting to sabotage Laffer Studios.",Patrick Warburton,"Carmen Electra,Shannon Elizabeth,Jay Mohr,",123
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_252,This Space Between Us,1999,98 min,"Comedy, Drama, Romance",6,"Filmmaker Alex Harty, 29, has always considered himself a ""tortured artist""-but it's not until his wife dies in a car accident that he learns the term's true meaning. Still saddled with ...                 »",Matthew Leutwyler,"Jeremy Sisto,Poppy Montgomery,Erik Palladino,Clara Bellar",153
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_253,The Art of Dying,1991,90 min,"Crime, Thriller",4.5,"A cinematographer and his assistant are attracting aspiring young actors and actresses by getting them to try out for their movie. Once filming, the evil cameraman actually kills them. The ...                 »",Wings Hauser,"Wings Hauser,Kathleen Kinmont,Gary Werntz,Mitch Hara",193
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_254,Tales of Paris,1962,100 min,"Comedy, Drama",6.1,"The omnibus made of four separate romantic playlets, each with its own cast, director, and scenarist. ""The Tale of Ella,"" directed by Jacques Poitrenaud, stars Dany Saval as an ambitious ...                 »",Marc Allégret,"Claude Barma,Michel Boisrond,Jacques Poitrenaud,Françoise Arnoul",68
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_255,Glitch!,1988,88 min,Comedy,3.2,"Two thieves rob a large fancy house when the owner is away. But when a visitor mistakes them for the owner, and they find out about a casting party mis-scheduled for that day, they decide ...                 »",Nico Mastorakis,"Will Egan,Steve Donmyer,Julia Nickson,Ji-Tu Cumbuka",311
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_256,Tales from the Crapper,2004,90 min,"Horror, Comedy",4.3,"A horror anthology that contains two chilling tales, set up by the ""Crap Keeper"".",Gabriel Friedman,"Chad Ferrin,Dave Paiko,Brian Spitz,Lloyd Kaufman",504
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_257,Altman,2014,96 min,Documentary,6.8,A look at the life and work of American film-maker Robert Altman.,Ron Mann,"Michael Murphy,Robert Altman,Kathryn Reed,Sally Kellerman",1060
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_258,Here Comes Carter,1936,58 min,"Comedy, Crime, Drama",5.7,Kent Carter is just a regular Joe who works at a movie studio and observes interesting behavior concerning actors. He uses the info to become a hard driven gossip reporter and bring down a star with a mean streak.,William Clemens,"Ross Alexander,Glenda Farrell,Anne Nagel,Craig Reynolds",157
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,HW_259,Switchmas,2012,100 min,"Comedy, Family",5.7,"A Christmas obsessed Jewish boy on his way to sunny Florida figures out how to get the Christmas of his dreams by trading airline tickets and places with another boy on his way to snowy Christmastown, WA.",Sue Corcoran,"Elliott Gould,David DeLuise,Elijah Nelson,Justin Thomas Howell",464
