url,id,title,release_year,genre,description,directed_by,cast,cast,cast,cast,runtime,rate,votes,,,,,,,,
"https://m.media-amazon.com/images/M/MV5BZjUwNGIwNDctZmQ1ZC00YTEzLWI3MzQtZGMyODlmZGU4ZDdhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg",14,Heavenly Creatures,1994,"Biography, Crime, Drama","Two teenage girls share a unique bond; their parents, concerned that the friendship is too intense, separate them, and the girls take revenge.",Peter Jackson,Melanie Lynskey,Kate Winslet,Sarah Peirse,Diana Kent,99 min,7.4,"54,478",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,15,Charlie's Angels: Full Throttle,2003,"Action, Adventure, Comedy",The Angels investigate a series of murders which occur after the theft of a witness protection profile database.,McG,Drew Barrymore,Lucy Liu,Cameron Diaz,Bernie Mac,106 min,4.9,"109,548",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,16,Entourage,2015,Comedy,"Movie star Vincent Chase, together with his boys Eric, Turtle, and Johnny, are back - and back in business with super agent-turned-studio head Ari Gold on a risky project that will serve as Vince's directorial debut.",Doug Ellin,Adrian Grenier,Kevin Connolly,Jerry Ferrara,Kevin Dillon,104 min,6.6,"69,179",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,17,That Thing You Do!,1996,"Comedy, Drama, Music","A local Pennsylvania band scores a one hit wonder in 1964 and rides the star-making machinery as long as they can, with lots of help from its manager.",Tom Hanks,Tom Hanks,Liv Tyler,Charlize Theron,Tom Everett Scott,108 min,6.9,"55,322",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,18,Adaptation.,2002,"Comedy, Drama",A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by  for the screen.,Spike Jonze,Nicolas Cage,Meryl Streep,Chris Cooper,Tilda Swinton,114 min,7.7,"159,923",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,19,Ed Wood,1994,"Biography, Comedy, Drama","Ambitious but troubled movie director  tries his best to fulfill his dreams, despite his lack of talent.",Tim Burton,Johnny Depp,Martin Landau,Sarah Jessica Parker,Patricia Arquette,127 min,7.9,"153,534",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,20,SPF-18,2017,Romance,"18-year-old Penny Cooper spent years pining for Johnny Sanders Jr., but when a mysterious musician shows up on the beach, Penny is torn.",Alex Israel,Carson Meyer,Noah Centineo,Bianca A. Santos,Jackson White,75 min,3.5,946,,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,21,Body Double,1984,"Mystery, Thriller",A young actor's obsession with spying on a beautiful woman who lives nearby leads to a baffling series of events with drastic consequences.,Brian De Palma,Craig Wasson,Melanie Griffith,Gregg Henry,Deborah Shelton,114 min,6.8,"23,962",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,22,The Rewrite,2014,"Comedy, Romance","An Oscar-winning writer in a slump leaves Hollywood to teach screenwriting at a college on the East Coast, where he falls for a single mom taking classes there.",Marc Lawrence,Hugh Grant,Whit Baldwin,Vanessa Wasche,Enid Graham,107 min,6.2,"15,518",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,23,The Fugitive,1963–1967,"Adventure, Crime, Drama","A doctor, wrongly convicted for a murder he didn't commit, escapes custody and must stay ahead of the police to find the real killer.",David Janssen,William Conrad,Barry Morse,Paul Birch,,51 min,8.1,"2,692",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,24,The People vs. Larry Flynt,1996,"Biography, Drama",The story of a controversial pornography publisher and how he became a defender of free speech.,Milos Forman,Woody Harrelson,Courtney Love,Edward Norton,Brett Harrelson,129 min,7.3,"79,141",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,25,77 Sunset Strip,1958–1964,"Action, Crime, Drama","Stu Bailey and Jeff Spencer were the wisecracking, womanizing private detective heroes of this Warner Brothers drama. Stu and Jeff worked out of an office located at 77 Sunset Strip in Los ...                 »",Efrem Zimbalist Jr.,Edd Byrnes,Roger Smith,Jacqueline Beer,,60 min,7.8,971,,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,26,Swingers,1996,"Comedy, Drama",Wannabe actors become regulars in the stylish neo-lounge scene; Trent teaches his friend Mike the unwritten rules of the scene.,Doug Liman,Vince Vaughn,Heather Graham,Jon Favreau,Ron Livingston,96 min,7.3,"69,045",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,27,Win a Date with Tad Hamilton!,2004,"Comedy, Romance","A small-town girl wins a date with a male celebrity through a contest. When the date goes better than expected, a love triangle forms between the girl, the male celebrity, and the girl's best friend.",Robert Luketic,Kate Bosworth,Josh Duhamel,Topher Grace,Nathan Lane,95 min,5.6,"24,693",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,28,Shanghai Knights,2003,"Action, Adventure, Comedy","When a Chinese rebel murders Chon's estranged father and escapes to England, Chon and Roy make their way to London with revenge on their minds.",David Dobkin,Jackie Chan,Owen Wilson,Fann Wong,Aaron Taylor-Johnson,114 min,6.2,"90,582",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,29,Rules Don't Apply,2016,"Comedy, Drama, Romance","The unconventional love story of an aspiring actress, her ambitious driver, and their eccentric boss, the legendary billionaire .",Warren Beatty,Lily Collins,Haley Bennett,Taissa Farmiga,Steve Tom,127 min,5.7,"6,983",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,30,Three Kings,1999,"Action, Adventure, Comedy","In the aftermath of the Persian Gulf War, four soldiers set out to steal gold that was stolen from Kuwait, but they discover people who desperately need their help.",David O. Russell,George Clooney,Mark Wahlberg,Ice Cube,Spike Jonze,114 min,7.1,"149,151",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,31,8MM,1999,"Mystery, Thriller","A private investigator is hired to discover if a ""snuff film"" is authentic or not.",Joel Schumacher,Nicolas Cage,Joaquin Phoenix,James Gandolfini,Peter Stormare,123 min,6.5,"112,769",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,32,Sister Act 2: Back in the Habit,1993,"Comedy, Family, Music",Showgirl Deloris Van Cartier returns as Sister Mary Clarence to teach music to a group of Catholic students whose run-down school is slated for closure.,Bill Duke,Whoopi Goldberg,Kathy Najimy,Maggie Smith,Barnard Hughes,107 min,5.5,"42,313",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,33,The Player,1992,"Comedy, Crime, Drama","A Hollywood studio executive is being sent death threats by a writer whose script he rejected, but which one?",Robert Altman,Tim Robbins,Greta Scacchi,Fred Ward,Whoopi Goldberg,124 min,7.6,"47,453",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,34,Big Fat Liar,2002,"Adventure, Comedy, Family","After a young boy's school essay erroneously finds its way into the hands of a Hollywood producer who turns the idea into a hit film, the boy travels to Los Angeles to claim his credit.",Shawn Levy,Frankie Muniz,Amanda Bynes,Paul Giamatti,Amanda Detmer,88 min,5.4,"31,640",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,35,Bewitched,2005,"Comedy, Fantasy, Romance","Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic sitcom  (1964).",Nora Ephron,Nicole Kidman,Will Ferrell,Shirley MacLaine,Michael Caine,102 min,4.8,"63,386",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,36,Beyond the Valley of the Dolls,1970,"Comedy, Drama, Music","Three girls come to Hollywood to make it big, but find only sex, drugs and sleaze.",Russ Meyer,Dolly Read,Cynthia Myers,Marcia McBroom,John Lazar,109 min,6.2,"8,699",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,37,Rush,2014,"Action, Drama","Doctor William Rush is not your average on-call professional. He's not attached to any hospital, he's highly discreet -- no matter the ailment, his clients must pay a cash-only premium, and...                 »",Tom Ellis,Larenz Tate,Sarah Habel,Rick Gonzalez,,44 min,7.7,"5,100",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,38,The Cotton Club,1984,"Crime, Drama, Music","The Cotton Club was a famous night club in Harlem. The story follows the people who visited the club, those who ran it, and is peppered with the Jazz music that made it so famous.",Francis Ford Coppola,Richard Gere,Gregory Hines,Diane Lane,Lonette McKee,127 min,6.5,"14,254",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,39,The Porn Diaries,2008,Documentary,"9to5 - Days in Porn focuses on the people behind a controversial and multi-billion dollar industry ""The Adult Entertainment industry"". It depicts their stories, each one different, ...                 »",Jens Hoffmann,Otto Bauer,Audrey Hollander,Belladonna,Jim Powers,113 min,6.4,"1,919",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,40,Life,2015,"Biography, Drama",A photographer for Life Magazine is assigned to shoot pictures of .,Anton Corbijn,Robert Pattinson,Dane DeHaan,Peter Lucas,Lauren Gallagher,111 min,6.1,"6,211",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,41,The Other Side of the Wind,2018,Drama,"The story of a legendary director named J.J. ""Jake"" Hannaford, who returns to Hollywood from years of semi-exile in Europe, with plans to complete work on his own innovative comeback movie, also titled ""The Other Side of the Wind"".",Orson Welles,John Huston,Robert Random,Peter Bogdanovich,Susan Strasberg,122 min,,,,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,42,The Big Picture,1989,"Comedy, Drama, Romance","Film school grad Nick Chapman thought his career was made after his award winning short film, but discovered Hollywood wasn't as easy as it seems.",Christopher Guest,Kevin Bacon,Jennifer Jason Leigh,Emily Longstreth,J.T. Walsh,100 min,6.3,"4,180",,,,,,,,
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,43,Hollywoodland,2006,"Biography, Crime, Drama","A detective examines the mysterious death of , the star of the television series  (1952).",Allen Coulter,Adrien Brody,Ben Affleck,Diane Lane,Bob Hoskins,126 min,6.5,"30,921",,,,,,,,
