image,url,id,title,release_year,runtime,genre,rate,description,directed_by,cast,cast,cast,cast,votes
https://www.imdb.com/title/tt5785170/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,15,Toilet - Ek Prem Katha,2017,155 min,"Comedy, Drama",7.3,"A woman threatens to leave her husband unless he installs a toilet in their home. To win back her love and respect, he heads out on a journey to fight against the backward society.",Shree Narayan Singh,Akshay Kumar,Bhumi Pednekar,Sudhir Pandey,Divyendu Sharma,"12,126"
https://www.imdb.com/title/tt1013542/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,16,The Cheetah Girls: One World,2008,90 min,"Comedy, Drama, Family",4.8,The girl group travel to India to star in a Bollywood movie - but end up competing for the same part.,Paul Hoen,Adrienne Houghton,Sabrina Bryan,Kiely Williams,Roshan Seth,"3,385"
https://www.imdb.com/title/tt1562871/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,17,Ra.One,2011,156 min,"Action, Adventure, Sci-Fi",4.8,A computer game character takes on physical form to destroy a player who nearly beat him but quit the game in between.,Anubhav Sinha,Shah Rukh Khan,Arjun Rampal,Kareena Kapoor,Shahana Goswami,"34,377"
https://www.imdb.com/title/tt1093370/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,18,Jab We Met,2007,138 min,"Comedy, Drama, Romance",7.9,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,Imtiaz Ali,Shahid Kapoor,Kareena Kapoor,Tarun Arora,Dara Singh,"39,496"
https://www.imdb.com/title/tt0280720/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,19,The Guru,2002,94 min,"Comedy, Music, Romance",5.4,A young man leaves India to find fame and fortune in America where he unexpectedly becomes a sex guru.,Daisy von Scherler Mayer,Jimi Mistry,Heather Graham,Marisa Tomei,Michael McKean,"14,169"
https://www.imdb.com/title/tt0347473/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,20,Main Hoon Na,2004,179 min,"Action, Comedy, Drama",7,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.",Farah Khan,Shah Rukh Khan,Sushmita Sen,Sunil Shetty,Zayed Khan,"27,750"
https://www.imdb.com/title/tt0456144/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,21,Lage Raho Munna Bhai,2006,144 min,"Comedy, Drama, Fantasy",8.1,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Vidya Balan,Jimmy Sheirgill,"36,017"
https://www.imdb.com/title/tt0114234/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,22,Rangeela,1995,142 min,"Comedy, Drama, Musical",7.5,"A middle class young woman, who dreams of Bollywood fame, is caught in a love triangle between her childhood friend and a famous actor.",Ram Gopal Varma,Urmila Matondkar,Aamir Khan,Jackie Shroff,Gulshan Grover,"7,525"
https://www.imdb.com/title/tt0470869/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,23,Neal 'N' Nikki,2005,122 min,"Comedy, Musical, Romance",3.3,Take a joyride with Neal and Nikki as they travel all across Canada to find what they want most. And it's going to be quite a trip.,Arjun Sablok,Uday Chopra,Tanishaa Mukerji,Abhishek Bachchan,Richa Pallod,"1,300"
https://www.imdb.com/title/tt1182972/?ref_=kw_li_i,https://m.media-amazon.com/images/G/01/imdb/images/nopicture/large/film-184890147._CB469860316_.png,24,Bachna Ae Haseeno,2008,152 min,"Comedy, Drama, Romance",6.2,"Raj is a heartbreaker. His love stories with Mahi, Radhika and Gayatri finally teach him about love and life in their own sweet, sexy and sassy way.",Siddharth Anand,Ranbir Kapoor,Deepika Padukone,Bipasha Basu,Minissha Lamba,"8,724"
